Country;Name;Totalfollowers;followerspain;authenticengament;Account2;Links;Category;Subcategory;Subcategory 2;Subcategory 3;Country.1;Marcas1;Marcas2;Marcas3;Marcas4;Marcas5;Marcas6;Marcas7;Marcas8;Marcas9;Marcas10;Tik Tok;Youtube;Twitter;%offemales
Italy; Nazionale Italiana di Calcio ;5400000;3100000;38400;azzurri;https://www.instagram.com/azzurri/?hl=es;Sportballers;Sports with a ball;Unknown;Unknown;italy;@stefanosensi12,;@mrmancini10,;@paologhiglio,;@berardi25,;@conisocial,;@atacroma,;@sirigu_1_official,;@sandrotonali,;@cicciocaputo11,;@pumafootball;Unknown;Unknown;895123;12.9 %
Italy; CALCIATORIBRUTTI ;2900000;2100000;59400;calciatoribrutti;https://www.instagram.com/calciatoribrutti/?hl=es;Sportballers;Sports with a ball;Humor ;Literature & Journalism;italy;@antogriezmann,;@inter,;@433,;@germanpezzella,;@francescototti],;@transfermarkt_official],;@ssdpalermoofficial,;@pigliatutto_,;@legadilettanti],;@rsisport];Unknown;Unknown;Unknown;8.6 %
Italy; Jorginho Frello ;3200000;696000;51500;jorginhofrello;https://www.instagram.com/jorginhofrello/?hl=es;Sportballers;Sports with a ball;Football;Unknown;italy;@chelseafc,;@tammyabraham,;@championsleague,;@ebay_uk,;@masonmount,;@cristianbarberuk,;@premierleague,;@mateokovacic8,;@emersonpalmieri,;@willianborges88;?;?;?;17.5 %
Unknown; Dries Mertens ;1900000;1200000;89600;driesmertens]];https://www.instagram.com/driesmertens/?hl=es;Sportballers;Sports with a ball;Football;Unknown;italy;@driesmertens]];Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown
Egypt;Mohamed Emam;10800000;524400;91000;mohamedemam;https://www.instagram.com/mohamedemam/?hl=es;Fitness;Cinema & Actors/actresses;Unknown;Unknown;spain;@ziadbourji,;@maherkhoukhaji,;@djgabyghazal,;@spotlightliveapp,;@jiromehranian,;@synergy.tamermursi,;@tamermursi,;@alhayah1tv,;@abudhabitv,;@shahid.vod;498000;Unknown;Unknown;30.4 %
United States; Michelle Lewin ;14700000;950400;41900;michelle_lewin;https://www.instagram.com/michelle_lewin/?hl=es;Fitness;Fitness & Gym;Unknown;Unknown;spain;@one0one_fashion,;@one0one_101,;@jimmy_lewin,;@wearestrongnation,;@maitieproductions,;@rammsteinofficial,;@smashintopiecesofficial,;@alrojovivo,;@azucenacierco,;@telemundo;Unknown;Unknown;457140;39.8 %
Colombia; Dani Ospina ;7200000;645100;19100;daniela_ospina5;https://www.instagram.com/daniela_ospina5/?hl=es;Fitness;Family;Unknown;Unknown;spain;@danfive,;@jahir_rueda,;@ohlalacatering,;@laura_tobon,;@d_ospina1,;@waltdisneyworld,;@movetravelrentacar,;@natumalta,;@daniellearciniegasmartinez,;@monaosorio;Unknown;Unknown;Unknown;55.3 %
Spain; Gym Virtual ;2100000;548100;18900;gymvirtual_com;https://www.instagram.com/gymvirtual_com/?hl=es;Fitness;Fitness & Gym;Unknown;Unknown;spain;@komvidakombucha,;@beautyexpertlancome,;@lancomeofficial,;@bioderma_es,;@specialk_es,;@gymvirtual_com,;@ktuin_apple,;@paypal,;@specialk_es?,;@raulparrag;100000;Unknown;100000;75.4 %
Spain; Sergio Peinado Trainer ;1400000;611700;13500;sergiopeinadotrainer;https://www.instagram.com/sergiopeinadotrainer/?hl=es;Fitness;Coach;Unknown;Unknown;spain;@sergiopeinadotrainer,;@fuertafit,;@myproteines,;@yosoytumaoficial,;@maiabader10,;@its.damiong,;@yoofitmadrid,;@fuertacodesergiopeinado,;@s,;@myprotein;1100000;Unknown;Unknown;29.4 %
Unknown; Simone Susinna ;640900;134900;24400;susinnasimone;https://www.instagram.com/susinnasimone/?hl=es;Fitness;Unknown;Unknown;Unknown;spain;@leica_camera,;@leica_camera_italia,;@giorgioarmani,;@mariotestino.,;@raffomarone,;@anamoyacalzado,;@donvichclothing,;@villaolea.29,;@guess,;@paulmarciano;Unknown;Unknown;Unknown;Unknown
Spain; Esttik ;474000;227300;25800;esttik;https://www.instagram.com/esttik/?hl=es;Fitness;Unknown;Unknown;Unknown;spain;@rociosomeday41,;@satunatu,;@esttik,;@myprotein,;@espeworkout,;@hundredburgers_,;@lesfotosdeltet,;@apexautocenter,;@pxrneat,;@deigoramen;829700;Unknown;4080000;26.1 %
Spain; Cristina Gilabert Benito ;894800;486100;10400;criscanaria5;https://www.instagram.com/criscanaria5/?hl=es;Fitness;Modeling;Unknown;Unknown;spain;@ferrera_official,;@gymkillerofficial,;@nebbia_fitness,;@madeinbrazil_fit,;@nailsvlc,;@s,;@fashionnova,;@cosasquetepuedengustar,;@criscanaria_bodyfit,;@belegendwomen;Unknown;Unknown;Unknown;18.0 %
Unknown; BUFF ACADEMY - Vadym Cavalera ;663300;127400;13700;buff.academy;https://www.instagram.com/buff.academy/?hl=es;Fitness;Unknown;Unknown;Unknown;spain;@tian_recre8yourlife,;@hermestf96,;@lera_shustovaa,;@manuuelsoto,;@leonardomenchi_sw,;@rafaelopz1,;@deivmedina,;@leonardodicaprio;Unknown;Unknown;Unknown;Unknown;Unknown;15.2 %
Unknown;Nieves Bolós;499500;93600;9600;niieves_fit;https://www.instagram.com/niieves_fit/?hl=es;Fitness;Unknown;Unknown;Unknown;spain;@s,;@revolve,;@bangenergy.ceo,;@bangenergy,;@giovanni_angiolini,;@dejaladieta,;@honestgreens,;@onepiece,;@wsathleticsofficial,;@smilodox;Unknown;Unknown;Unknown;33.3 %
Spain; Raquel López ;543600;356900;7800;yosoymamifit;https://www.instagram.com/yosoymamifit/?hl=es;Fitness;Family;Health & Medicine;Unknown;spain;@irenejunquera,;@mamifit_esp,;@soypurplewoman,;@malasmadres,;@susi_19_80,;@alma_cupcakes,;@boticariagarcia,;@luciajimenezoficial,;@ambartxu,;@funandbasics;Unknown;Unknown;Unknown;68.8 %
Spain; Marcos Vázquez ;459000;204000;7700;fitness.revolucionario;https://www.instagram.com/fitness.revolucionario/?hl=es;Fitness;Unknown;Unknown;Unknown;spain;@oscarpicazodn,;@adrenaline.race,;@wiletics_,;@refresco.tv,;@juanpelvis,;@marimusan,;@paugasol,;@pl4nets2020,;@mlalanda,;@pepitoestoico;Unknown;Unknown;Unknown;44.2 %
Unknown; Felipe Bejarano ;503700;107500;6400;bejaranofit;https://www.instagram.com/bejaranofit/?hl=es;Fitness;Unknown;Unknown;Unknown;spain;@bejaranofit,;@prosciencesupps,;@alpina,;@procsiencesupps,;@alphalete,;@prosciencesups,;@fitness.revolucionario,;@silvyaraujo,;@sergiopeinado,;@silvyaraujo;Unknown;464000;Unknown;Unknown
Unknown; Jorge Tabet  ;201200;102300;14700;jorgetabet;https://www.instagram.com/jorgetabet/?hl=es;Fitness;Unknown;Unknown;Unknown;spain;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown
Spain; Paula Gónzalez;456000;312600;6000;chleopawtra;https://www.instagram.com/chleopawtra/?hl=es;Fitness;Lifestyle;Clothing & Outfits;Unknown;spain;@trenceriadelflow,;@lidia_c21,;@nohea.es,;@shiraiina,;@hea_clothing,;@victorgarciaquesada,;@maszapatillas,;@chleopawtra,;@yoycosmetics,;@yberaespana;Unknown;Unknown;Unknown;54.4 %
Spain; Corina Randazzo ;467300;290900;5200;corinarandazzo;https://www.instagram.com/corinarandazzo/?hl=es;Fitness;Clothing & Outfits;Lifestyle;Unknown;spain;@corinarandazzo,;@foodspring_es,;@s,;@jdwomenes,;@ibizarocks,;@juanmafeliz,;@llanosmm92,;@elpozobienstar,;@urbansportsclub_es,;@nahirrandazzo;Unknown;Unknown;72000;60.9 %
Venezuela; DAVID | Entrenamiento online ;883800;143900;2600;transformatufisico;https://www.instagram.com/transformatufisico/?hl=es;Fitness;Unknown;Unknown;Unknown;spain;@benjarevalo,;@samuel_acs,;@carlosmatos98,;@kevinangustia,;@jahldo,;@natty_romero10,;@transformatufisico,;@luisdriverad,;@mch.r,;@dansarmientoh;625500;Unknown;Unknown;25.8 %
Spain; OYSHO ;2800000;447800;859;oysho;https://www.instagram.com/oysho/?hl=es;Fitness;Fashion ;Unknown;Unknown;spain;@aria.official,;@verda.kutsal,;@xuanlanyoga,;@tribevinyasa,;@iankopive,;@thealchimistuk,;@ninametayer,;@manda.moor,;@yeraymonforte,;@peppe.pizzalover;Unknown;97800;112618;78.2 %
Spain; Lydia Valentín ;309000;115900;7300;lydiavalentin;https://www.instagram.com/lydiavalentin/?hl=es;Fitness;Trainers & Coaches;Unknown;Unknown;spain;@ucam_universidad,;@bridgestoneespana,;@ssangyong_life,;@singularwod,;@coe_es,;@nuriasecret,;@mariacocol,;@yaelmakeup,;@anitadelrey,;@lauherediaa;Unknown;Unknown;Unknown;35.2 %
Spain; Javier Gómez Noya ;312200;109100;7000;jgomeznoya;https://www.instagram.com/jgomeznoya/?hl=es;Fitness;Unknown;Unknown;Unknown;spain;@iamspecialized_tri,;@ironman_my,;@philippkoutny,;@tvinhal,;@226ers,;@on_running,;@rovalcomponents,;@iamspecialized,;@javitheilacker,;@rafaelnadal;Unknown;Unknown;151569;
Unknown; Christian Santos ;304300;65200;7500;christiansantoss;https://www.instagram.com/christiansantoss/?hl=es;Fitness;Racing Sports;Unknown;Unknown;spain;@anitta,;@alexluciol,;@vflosnabrueck,;@marc.niemeyer,;@vasilislam,;@osnapix,;@colocolooficial,;@make_repost,;@christiansantoss,;@pablosepulveda.fotografia;Unknown;Unknown;Unknown;Unknown
Spain; Daniela Golubeva ;325200;79200;6100;danielagolubeva2007;https://www.instagram.com/danielagolubeva2007/?hl=es;Fitness;Lifestyle;Unknown;Unknown;spain;@erika_golubeva,;@surpriseclub.es,;@danya_milokhin,;@ba.bitch_,;@vika_the_bestt,;@nesquikespana,;@calzedonia,;@calzedonia_esp,;@martinadant,;@danielagolubeva2007;Unknown;Unknown;Unknown;72.3 %
Argentina; Ejercicios Fitness ;956600;167900;2100;ejercicios_fitness;https://www.instagram.com/ejercicios_fitness/?hl=es;Fitness;Unknown;Unknown;Unknown;spain;@karinaelle,;@dannibelle,;@s,;@krissycela,;@lisafiitt,;@hannaoeberg,;@ejercicios_fitness,;@deniceemoberg,;@stephaniesanzo,;@gainsbybrains;Unknown;Unknown;Unknown;66.7 %
Spain; Crys Dyaz ;251700;97700;7900;crysdyaz;https://www.instagram.com/crysdyaz/?hl=es;Fitness;Unknown;Unknown;Unknown;spain;@foodspring_es,;@paloma.calderon.ep,;@carreterorodrigo,;@lauraescanes,;@drink6zumo,;@noelyadyaz,;@adidas_es,;@abreu1991,;@dicoraurbanfit_es,;@mcfit_es;Unknown;Unknown;Unknown;75.8 %
Spain; Maria Paulette;369100;106200;5600;lapaulettefitness;https://www.instagram.com/lapaulettefitness/?hl=es;Fitness;Unknown;Unknown;Unknown;spain;@prozis,;@kim_angel,;@rafaelderivera_oficial,;@prozisespana,;@s,;@paulettecoaching,;@romania_muscle_fest_pro,;@ricardopannain,;@mussashoes,;@giannikavanagh;Unknown;Unknown;Unknown;34.1 %
Spain; Amaya_fitness ;331900;184800;5600;amaya_fitness;https://www.instagram.com/amaya_fitness/?hl=es;Fitness;Trainers & Coaches;Unknown;Unknown;spain;@amaya_fitness;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;47824;73.2 %
Spain; Xuan Lan Yoga ;632600;271100;2700;xuanlanyoga;https://www.instagram.com/xuanlanyoga/?hl=es;Fitness;Unknown;Unknown;Unknown;spain;@solgar_esp,;@harayogastudio,;@matthieu_ricard,;@karunashechen,;@danharris,;@anichodron,;@rebecarecatero.,;@janojace,;@mariekondo,;@avellaneda_eu;Unknown;1670000;Unknown;77.3 %
Spain; Espe Workout ;373600;139200;4600;espeworkout;https://www.instagram.com/espeworkout/?hl=es;Fitness;Unknown;Unknown;Unknown;spain;@borjasanfelix,;@agon_gym,;@goldsgym,;@losviajesdelequiposoulandbody,;@agon_gym:,;@fit_maker_sport,;@espeworkout,;@prozis_espana,;@daddyyankee,;@badbunnypr;31400;Unknown;Unknown;
Spain; Paddy - Charlotte ;260000;150100;5900;paddy.8;https://www.instagram.com/paddy.8/?hl=es;Fitness;Unknown;Unknown;Unknown;spain;@s,;@marcosllorente,;@paaati_9,;@ans.arana,;@paddy.ness,;@esquirees,;@keidifit,;@marquesfit,;@sprinter_es,;@lauraholtdancer;Unknown;Unknown;Unknown;
Spain; Malena Costa ;429600;265800;3400;malenacosta7;https://www.instagram.com/malenacosta7/?hl=es;Fitness;Modeling;Unknown;Unknown;spain;@mariosuarez4,;@panambicollection,;@myebycosta,;@mltrainer,;@jorgecueto_,;@allthatsheloves,;@cosmopolitan_es,;@louboutinworld,;@piccolomondo.es,;@designers_society;Unknown;Unknown;223598;74.0 %
Spain; Juan Faro;223500;145700;6600;juanfaro_pro;https://www.instagram.com/juanfaro_pro/?hl=es;Fitness;Shows;Modeling;Unknown;spain;@juanfaro_pro,;@louisvuitton,;@sillon_tantra,;@chescoshoots,;@agon_gym,;@lorenaonfit,;@coral__g,;@thegaragemadrid,;@apple,;@bose;Unknown;Unknown;Unknown;23.4 %
United States; Vanesa Lorenzo ;429600;229000;3000;vanesalorenzo_;https://www.instagram.com/vanesalorenzo_/?hl=es;Fitness;Family;Modeling;Unknown;spain;@carles5puyol,;@laiaaguilar_,;@flsida,;@joanabonet,;@fashionandarts,;@joana_bonet,;@magazinelavanguardia,;@seventybarcelona,;@sbyslowlove.,;@sbyslowlove;Unknown;Unknown;?;
Spain; Ivan Perujo Oficial ;297400;67500;5600;ivanperujo;https://www.instagram.com/ivanperujo/?hl=es;Fitness;Lifestyle;Unknown;Unknown;spain;@ivanperujo,;@s,;@go_method,;@alexghita1993,;@paulita_hb7,;@lorenamorlotemultiespacio,;@abc_diario,;@diariomarca,;@ivanperujo.,;@roberto.r.r.3.fotos;Unknown;Unknown;Unknown;44.0 %
Spain; David Marchante ;1200000;425100;1000;powerexplosive;https://www.instagram.com/powerexplosive/?hl=es;Fitness;Unknown;Unknown;Unknown;spain;@hsnstore_es,;@physiomotorcontrol,;@fitnesspowerfood,;@loopeztrainer,;@maniakfitness,;@entrenacondani,;@ivanelements,;@dmrphysiofitness,;@marketingparaentrenadores,;@powerexplosive;31000;1740000;Unknown;19.5 %
Chile; Alex Consejo Iglesias ;688200;114600;1800;consejo8;https://www.instagram.com/consejo8/?hl=es;Fitness;Trainers & Coaches;Unknown;Unknown;spain;@s,;@sara.madridshavingclub,;@cosaslindasquetepuedengustar,;@iglmireia,;@georgito1128,;@jonconsejo,;@parquewarner,;@sara.msc_,;@josecoopers_,;@eliuclothing;Unknown;Unknown;Unknown;63.3 %
Unknown; Leena Hakkinen | Fitness ;201700;40500;6100;leenasofia;https://www.instagram.com/leenasofia/?hl=es;Fitness;Lifestyle;Unknown;Unknown;spain;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;1300000;Unknown;Unknown;Unknown
Unknown; KIWI ;158900;69200;6900;thesaiyankiwi;https://www.instagram.com/thesaiyankiwi/?hl=es;Fitness;Unknown;Unknown;Unknown;spain;@betteraestheticsbb,;@sifgodess,;@samsungespana,;@emfit_nutrition,;@inacuamurcia,;@andrea_ayons,;@irenecuadrado,;@thesaiyankiwi,;@andrearmada,;@ameliaayuso;?;?;?;Unknown
Unknown; Jonathan Mengeli ;155800;45600;7300;coachzworld;https://www.instagram.com/coachzworld/?hl=es;Fitness;Unknown;Unknown;Unknown;spain;@xavisimons,;@jmazzarese,;@prozis,;@lulu.barcelona,;@etthehiphoppreacher,;@juannovakosky,;@thenext.off,;@nike,;@technogym,;@achampsofficial;Unknown;Unknown;Unknown;Unknown
Spain; Alfonso Santaella ;178900;83400;5600;alfon.what;https://www.instagram.com/alfon.what/?hl=es;Fitness;Unknown;Unknown;Unknown;spain;@aboutyou_es,;@lanaveparkour,;@nadal015,;@stereo.es,;@alfon.what,;@cosmin_what,;@pixelcit0,;@lidiatorrentanca,;@iamedisonguzman,;@pascal_clain;91.1;Unknown;Unknown;12.1 %
Unknown; Joan Pradells ;100700;60100;9900;joanpradells;https://www.instagram.com/joanpradells/?hl=es;Fitness;Sweets & Bakery;Unknown;Unknown;spain;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;51300;Unknown;Unknown
Spain;Liados Fitness;335400;115900;3000;lladosfitness;https://www.instagram.com/lladosfitness/?hl=es;Fitness;Unknown;Unknown;Unknown;spain;@thalia.mcix,;@teamllados,;@lladosfitness,;@thboceanbeachhotelibiza,;@thbhotels,;@susanvasqz,;@kynobi_official,;@aleeejandro_fit,;@tu1millon,;@gabi_.79;1500000;Unknown;Unknown;11.1 %
Spain; Cristina Fernández Petite ;248500;144200;4000;petit_fit;https://www.instagram.com/petit_fit/?hl=es;Fitness;Unknown;Unknown;Unknown;spain;@s,;@myproteines,;@frutosecopuntocom,;@petit_fit,;@foodspring_es,;@foodspring_es.,;@elclasicomad,;@el_pradal,;@elclasicomad:,;@.;Unknown;Unknown;Unknown;72.4 %
Spain; Nutricionista Victoria Lozada;316800;95500;3100;nutritionisthenewblack;https://www.instagram.com/nutritionisthenewblack/?hl=es;Fitness;Travel;Unknown;Unknown;spain;@stefyactiva,;@zespri_es,;@jimmynaraine,;@komvidakombucha,;@estoesnutricion,;@moverepsicologia,;@dudewithsign,;@dudettewithsign,;@masbrocolicom,;@proyecto_princesas;Unknown;Unknown;Unknown;77.3 %
Spain; Guille Monzón ;111800;44200;8300;guillemonz;https://www.instagram.com/guillemonz/?hl=es;Fitness;Unknown;Unknown;Unknown;spain;@andreaapalazon,;@abe.oficial,;@marlucas18,;@agon_gym,;@dememory_oficial;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;0%
Israel; Cesc Escola;175400;110400;5200;cescescola;https://www.instagram.com/cescescola/?hl=es;Fitness;Lifestyle;Unknown;Unknown;spain;@operaciontriunfo,;@la2_tve,;@betcalderer,;@hsnstore_es,;@jesuitassarria,;@jesuitesfp,;@jesuitessarria,;@jesuitesedu,;@fpesports_santignasi_sarria,;@sporcks.sc;Unknown;17300;14258;
Unknown; Carmen Iribarne;272700;92200;3500;carmen_iri;https://www.instagram.com/carmen_iri/?hl=es;Fitness;Trainers & Coaches;Unknown;Unknown;spain;@ivonnessfit..,;@ivonnessfit,;@hispartano93,;@carla,;@sunnysrecipes,;@judiramirezz,;@taniaonfit,;@carmen_iri,;@s,;@natruly_es;Unknown;Unknown;Unknown;
Spain; Lorenaonfit;332500;210700;2700;lorenaonfit;https://www.instagram.com/lorenaonfit/?hl=es;Fitness;Trainers & ;Unknown;Unknown;spain;@agon_gym,;@dietpremium,;@snapfitness_santgervasi,;@lorenaonfit,;@dietmpremium,;@myproteines,;@myprotein_es,;@cecotec,;@sergionfit,;@natali.gb;Unknown;59000;Unknown;70.0 %
Spain; Borja Sanfelix ;376100;171200;2400;borjasanfelix;https://www.instagram.com/borjasanfelix/?hl=es;Fitness;Unknown;Unknown;Unknown;spain;@espeworkout,;@losviajesdelequiposoulandbody,;@borjasanfelix,;@fit_maker_sport,;@m,;@borjasanfelix.com,;@studioreina.es,;@aitorbg_tattoo,;@criss.pineda,;@s;209700;Unknown;17303;
Unknown;Rubén García;350100;159900;2400;rvbengarcia;https://www.instagram.com/rvbengarcia]?hl=es;Fitness;Lifestyle;Unknown;Unknown;spain;@rvbengarcia]];Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;52200;Unknown;Unknown;Unknown
India;Mia Khalifa;27500000;1500000;1400000;miakhalifa;https://www.instagram.com/miakhalifa/?hl=es;Fitness;Beauty;Unknown;Unknown;italy;@sportsbet.io,;@bonjwing,;@perseny,;@sohogirldiary,;@markarian_nyc,;@theestallion,;@yoyelapogian,;@vfctraining,;@theobaker_,;@deepakdugarmd;32000000;?;?;16.4 %
United States; Logan Paul ;22400000;1000000;628600;loganpaul;https://www.instagram.com/loganpaul/?hl=es;Fitness;Beauty;Lifestyle;Unknown;italy;@impaulsiveshow,;@daznboxing,;@matchroomboxing,;@domraso,;@justinbieber,;@danilstrobel,;@josiecanseco,;@themaverickclub,;@_johnnywilson2020,;@6ix9ine;?;?;?;33.8 %
United States; Anlella Sagra;14100000;740700;96400;anllela_sagra;https://www.instagram.com/anllela_sagra/?hl=es;Fitness;Lifestyle;Beauty;Unknown;italy;@bangrevolution.apparel,;@bangenergy.ceo,;@bangenergy,;@megliz.swim,;@laura_sagra,;@goat,;@redline_energy,;@theoquenee,;@joshuamribadeo,;@adinas.jewels;182600;Unknown;Unknown;17.6 %
United States; Kayla Itsines ;14100000;744900;23100;kayla_itsines;https://www.instagram.com/kayla_itsines/?hl=es;Fitness;Beauty;Lifestyle;Unknown;italy;@kayla_itsines,;@sweat,;@leahitsines,;@foodmymuse,;@mum_sweatlife,;@thedaleyplate,;@jnic_fit,;@walderwellness,;@channyyy_fit.rn_,;@bellafruitts;Unknown;Unknown;374666;76.8 %
Italy; Roberta Carluccio ;1900000;1500000;122400;roberryc;https://www.instagram.com/roberryc/?hl=es;Fitness;Lifestyle;Beauty;Cinema & Actors/actresses;italy;@maxim_italia,;@sperlingkupfer,;@palmiradelvecchio,;@vlady_mua,;@boroboro35,;@grupposandonato,;@palazzo_della_salute,;@palazzodellasalute,;@_comme_des_fkdown_,;@levis;1500000;Unknown;Unknown;20.9 %
Italy; Elena Morali ;1400000;860000;26000;elenamoralireal;https://www.instagram.com/elenamoralireal/?hl=es;Fitness;Beauty;Unknown;Unknown;italy;@gabrielebattaglino_photo,;@labiennale,;@vivianaedera,;@claudiogusmaroliwedding,;@edparrishbrand,;@selene.gegen.mkup,;@pomeriggio5tv,;@misssixty,;@daniloforestieriofficial,;@reviseconcept;Unknown;Unknown;91100;22.3 %
Italy; Francesca Ferragni ;1400000;741100;24600;fraferragni;https://www.instagram.com/fraferragni/?hl=es;Fitness;Beauty;Unknown;Unknown;italy;@chiaraferragni,;@ghtlakecomo,;@valentinaferragni,;@chiaraferragnibrand,;@riku_usm,;@aachiolo:,;@lechaletmontblanc,;@erlindalesi,;@caste24g,;@matteo.tessadori;153800;Unknown;Unknown;70.2 %
Unknown; Giorgio Muratore ;1000000;783000;24400;xmurryofficial;https://www.instagram.com/xmurryofficial/?hl=es;Fitness;Beauty;Unknown;Unknown;italy;@pisto.gram,;@lorealmen,;@kill_cherry_darling,;@photoshoppare,;@matteopelusi,;@vivident_italia,;@cancellisss,;@danny_lazzarin,;@mirkopolizzi,;@riccardogiordano.it;Unknown;Unknown;Unknown;
Italy; Carlotta Ferlito ;760400;541600;27200;carlyferly;https://www.instagram.com/carlyferly/?hl=es;Fitness;Beauty;Lifestyle;Unknown;italy;@phrancescoguarnieri,;@k.chiaraa,;@sunsilkitalia,;@vento_di_grecale,;@orange_one_boat,;@vivident_italia,;@shaylinka,;@adidasita,;@paolostella,;@primevideoit;Unknown;Unknown;Unknown;76.2 %
Italy;Danny Lazzarin;568200;415300;25900;danny_lazzarin;https://www.instagram.com/danny_lazzarin/?hl=es;Fitness;Beauty;Shopping & Retail;Unknown;italy;@xmurryofficial,;@saywaaad,;@radiodeejay,;@micheletrevisann,;@marvinvettori,;@marvinvettori.,;@themerluzz,;@danny_lazzarin,;@vgthomas1987,;@tsunaminutrition;Unknown;Unknown;Unknown;
Unknown; Simone Susinna ;640900;225600;24400;susinnasimone;https://www.instagram.com/susinnasimone/?hl=es;Fitness;Beauty;Unknown;Unknown;italy;@leica_camera,;@leica_camera_italia,;@giorgioarmani,;@mariotestino.,;@raffomarone,;@anamoyacalzado,;@donvichclothing,;@villaolea.29,;@guess,;@paulmarciano;Unknown;Unknown;Unknown;Unknown
United States; Claudia Romani ;1400000;179600;10500;claudia_romani;https://www.instagram.com/claudia_romani/?hl=es;Fitness;Beauty;Photography;Lifestyle;italy;@bikinichicmiami,;@chrisvehovec,;@acmilan,;@aguacate_sanctuaryoflove,;@kc_designsmiami,;@anaiszanotti,;@korinsutton,;@iamvalentina111,;@jennifernicolelee,;@eidoswimwear;Unknown;Unknown;Unknown;7.5 %
Spain; Alessandro Basciano;566100;365100;26900;iam_alebasciano;https://www.instagram.com/iam_alebasciano/?hl=es;Fitness;Beauty;Photography;Unknown;italy;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown
Italy; HALFSHAVE ;579100;360400;18300;gianmarcotamberi;https://www.instagram.com/gianmarcotamberi/?hl=es;Fitness;Beauty;Unknown;Unknown;italy;@pumaperformance,;@foodspring_it,;@bontempichiara,;@foodspring_athletics,;@photocolombo,;@atleticaitaliana,;@filippo.giaccaglia,;@sabrinapiastrellini,;@seikoitalia,;@roccosiffredi_official;Unknown;Unknown;Unknown;40.5 %
Italy; Luca Vezil ;1000000;575300;9000;lucavezil;https://www.instagram.com/lucavezil/?hl=es;Fitness;Beauty;Lifestyle;Unknown;italy;@valentinaferragni,;@pablovezagni,;@chiaraferragniunposted,;@carlopignatelliofficialpage,;@francesco__pignatelli__,;@moschettaro,;@levis_ita,;@levis,;@tomford,;@cupra_it;Unknown;Unknown;Unknown;77.4 %
Italy; Carolina ;334300;209400;27600;carolinadallari;https://www.instagram.com/carolinadallari/?hl=es;Fitness;Beauty;Unknown;Unknown;italy;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown
Italy; Alessia Macari ;979700;671200;8700;alessiamacari;https://www.instagram.com/alessiamacari/?hl=es;Fitness;Beauty;Unknown;Unknown;italy;@ollikragl,;@lifloveisfreedom,;@agostinosaturday,;@debby82_,;@barbaramonacofotografie_,;@caffe_gioia_official,;@boandtee,;@markizafashion1,;@gypsydrip,;@chiclove1;38300;7940;Unknown;28.9 %
Italy; Marvin Vettori ;507500;318600;16100;marvinvettori;https://www.instagram.com/marvinvettori/?hl=es;Fitness;Beauty;Unknown;Unknown;italy;@aliabdelaziz000,;@miketyson,;@willharrisproductions,;@tysonranchofficial,;@usman84kg,;@claudiagadelha,;@henry_cejudo,;@frankieedgar,;@coreya_mma,;@marktheolympianmadsen;Unknown;Unknown;53080;11.3 %
Italy;IL.tuozen ;535000;363000;14200;il.tuozen;https://www.instagram.com/il.tuozen/?hl=es;Fitness;Beauty;Unknown;Unknown;italy;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown
Italy; Andrea Larosa ;552900;97300;13900;larosa_sw;https://www.instagram.com/larosa_sw/?hl=es;Fitness;Lifestyle;Beauty;Unknown;italy;@suzukimotoitalia,;@foodspring_it,;@larosa_sim,;@therabody_it,;@timmytrumpet;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;7.6 %
Brazil; Lasse L. Matberg ;720600;134000;10200;lasselom;https://www.instagram.com/lasselom/?hl=es;Fitness;Beauty;Art/ Artists;Photography;italy;@arneanfield,;@henrikutne,;@eirikuhlen,;@teigland,;@reinhartsenmedia,;@hermanberger,;@tv2norge,;@_litvinalena_,;@fitplanapp,;@anugacologne;Unknown;Unknown;Unknown;71.7 %
